ID,Device ID,Vehicle Type,Trip Duration,Trip Distance,Start Time,End Time,Modified Date,Month,Hour,Day of Week,Council District (Start),Council District (End),Origin Cell ID,Destination Cell ID,Year,Start Latitude,Start Longitude,End Latitude,End Longitude
435989e4-9c6a-44bb-a533-34b3c249cc42,28cf499a-988c-49ae-b381-30862d3173d6,scooter,628,965,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014706,015179,2019,30.265,-97.744,30.267,-97.737
4fc2a7fe-38ac-4dcf-87f9-d280f49b4327,c338b6f1-37dd-4756-b66d-6155b5a78a2d,scooter,979,1303,02/23/2019 10:15:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,3,9,015176,015022,2019,30.259,-97.736,30.267,-97.74
91aaf88e-2ad8-4f05-b2d5-5fa7349c139a,ed6771a8-a89e-41d5-b250-b64bacd8a74e,scooter,3378,7225,02/23/2019 09:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,21,6,1,1,015658,015658,2019,30.283,-97.729,30.283,-97.729
91f6090e-59a3-4881-a65f-33f5aa695c63,1c9f5706-520a-4e5c-930b-7cf777e60721,scooter,1149,2156,02/23/2019 10:15:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,1,1,014866,014867,2019,30.272,-97.741,30.274,-97.741
baca5678-31d8-4fe4-b547-cd5bc70ea09a,f6a571da-fa37-4f63-8ee1-e9f496a157d6,scooter,6244,10090,02/23/2019 09:00:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,21,6,9,9,015017,014546,2019,30.257,-97.74,30.26,-97.747
b8d6d8e8-41d4-4eda-a5a8-eb0aa58423fe,87a91d17-8ca7-49c3-8b05-06ac6e259344,scooter,6229,9784,02/23/2019 09:00:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,21,6,9,9,015017,014546,2019,30.257,-97.739,30.259,-97.747
98645417-b9ca-4f77-9ad3-16c7834487ae,a1874439-2dd2-44d3-a702-a3b033e0d9f3,scooter,530,1335,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014865,015022,2019,30.268,-97.742,30.267,-97.74
8475aa57-00f7-401f-bba3-2429f850eca4,a1a19e84-fe4b-4cbf-976a-17a2957b2aa2,scooter,2281,1899,02/23/2019 10:00:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015022,015022,2019,30.267,-97.739,30.267,-97.739
072b134d-719e-4d8d-a803-516a2b77ee3f,66583cdb-87c3-461a-9d6f-94f0c9b42717,scooter,1047,1223,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015022,015022,2019,30.267,-97.74,30.267,-97.739
3e84cce3-dca7-440c-a882-74a4e4018c38,e7110be5-664e-4a90-b58b-b36ed4413a27,scooter,353,852,02/23/2019 10:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015019,015021,2019,30.261,-97.738,30.266,-97.74
7ccaa588-12e3-4e44-8eef-839725450afa,a164d699-d55b-41b4-a741-d144d184417b,scooter,207,386,02/23/2019 10:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014545,014389,2019,30.257,-97.747,30.26,-97.749
36735ad0-d081-46a3-b4e5-b406a11f6b1c,d556f6d5-c183-4131-80cc-6fae9ae13ed1,scooter,388,852,02/23/2019 10:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015019,015021,2019,30.261,-97.738,30.266,-97.74
df2c9179-535c-4c68-b98e-42230907b0be,54badd06-983c-4648-925f-de7d5bacf794,scooter,1424,1544,02/23/2019 10:15:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015022,015022,2019,30.267,-97.739,30.267,-97.739
259ccc43-c37b-43b9-9c9c-c6de3ec2fe96,a7fc34f2-f057-4595-aeea-428d22a1b141,scooter,1356,3572,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,3,9,015335,014714,2019,30.263,-97.733,30.284,-97.745
179ec3a6-8a9c-48e9-b97b-fbe7c13a2945,44321329-e323-407e-9d86-6fe1d25aa96c,scooter,638,852,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014393,014865,2019,30.27,-97.749,30.268,-97.742
e48e1cd6-bd94-4d64-8488-9a771bb9a6e8,bedffdc4-94ca-4772-a146-e63ba1370f40,scooter,741,2253,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,1,1,016445,016601,2019,30.28,-97.717,30.278,-97.716
4305aeea-5249-48ed-96f1-b588f32cabb7,39b2c95c-b897-4fe3-8151-13f047019f7e,scooter,494,1094,02/23/2019 10:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014707,014235,2019,30.269,-97.743,30.27,-97.75
11421fd8-1d84-4690-ab4e-39ed7dba3958,90205c79-cfb9-4dbe-99c1-fae2aaaa7536,scooter,857,1400,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014227,014382,2019,30.25,-97.75,30.245,-97.749
050bad1e-c897-49b4-9808-ba20b6c08abb,28441085-2cbb-4a24-83ed-3ae96d59f816,scooter,314,177,02/23/2019 10:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014075,014074,2019,30.263,-97.754,30.262,-97.754
dbb54a37-6204-4ff1-97d5-5d9754fa632d,9f262e00-8d3c-4fb5-8d52-0616a31e96dc,scooter,1095,1818,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,3,015022,015806,2019,30.267,-97.74,30.26,-97.728
3b3c2b8c-28f0-4618-942c-4e7e4c6723bb,e982182c-8f3c-4cee-b44e-dd4b5b16b3f7,scooter,228,820,02/23/2019 10:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014393,014865,2019,30.27,-97.749,30.268,-97.742
541bb6c6-c867-402d-af8e-4c1d02f137d6,89c66429-e9ba-45dc-a6a4-bd41441d8692,scooter,562,933,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,3,015019,015332,2019,30.261,-97.738,30.256,-97.734
fb1d40b8-6674-4e0d-9ccf-ed2fb3a13f62,38ec32ad-fe0f-47bd-bfc9-b05e281ec5e2,scooter,602,2092,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,013610,014235,2019,30.28,-97.76,30.27,-97.751
beb55205-1aa8-4465-8008-b543a40393e3,41eef922-6820-4229-86f2-bcceda23b64c,scooter,1682,1738,02/23/2019 10:15:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015022,015022,2019,30.267,-97.739,30.267,-97.739
196483b2-1b5c-4640-8756-3b5736c0728c,952783ba-cda7-4385-971c-dea491acccab,scooter,716,2784,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,3,015022,016279,2019,30.267,-97.739,30.261,-97.721
fb3f3cb1-83ee-4bdd-9bfd-3aec48f73bb7,af62407d-c9bf-4563-86a8-9b38a8465ccd,scooter,335,981,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,3,3,015807,016119,2019,30.262,-97.727,30.256,-97.723
3b8125e3-e3e3-44d4-bcfd-f9954da8200d,b4e53a3f-7288-4396-baae-4a224acef26d,scooter,489,981,02/23/2019 10:30:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,3,9,015492,015179,2019,30.262,-97.731,30.266,-97.737
e346b8f9-7ea2-4462-bf0a-03495e083f45,705dfa37-4473-4f34-aa2f-7dc00bc7dcf0,scooter,1171,2912,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014864,015022,2019,30.266,-97.742,30.267,-97.739
bf81eca2-fe5d-41c7-86b8-56f4656e9800,64ea746d-1c02-4f85-a47b-8454147c5de1,scooter,1011,3347,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015021,014226,2019,30.266,-97.74,30.248,-97.75
34835ac3-d973-4dc3-b399-df0d619eb6ce,f669a037-7892-4045-b8d3-ae5d256da903,scooter,1045,3363,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015022,014226,2019,30.267,-97.74,30.248,-97.75
9a52db61-8d27-46b7-8f7d-bebb341fcdf3,455831a4-ae57-410d-9296-1f1e33525b05,scooter,573,1866,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,3,9,015493,014392,2019,30.265,-97.732,30.268,-97.75
b86277f5-58f9-41e0-b851-902c7fcbcde3,af62407d-c9bf-4563-86a8-9b38a8465ccd,scooter,1748,2494,02/23/2019 10:00:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,3,015022,015807,2019,30.267,-97.74,30.262,-97.727
0dabcb0a-c1fa-4a08-9af7-b1c7ea53cd33,4d6e0a45-8d74-4c78-b766-bd145fdbc360,scooter,1057,2623,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014235,013610,2019,30.27,-97.751,30.28,-97.76
82a2f813-0352-4f6e-a1ee-957e3dce0120,e982182c-8f3c-4cee-b44e-dd4b5b16b3f7,scooter,231,997,02/23/2019 10:30:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015022,014393,2019,30.267,-97.74,30.27,-97.749
d1f89bdd-b2f6-475f-9bff-9a5aff648434,9f262e00-8d3c-4fb5-8d52-0616a31e96dc,scooter,782,1721,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014230,015022,2019,30.258,-97.751,30.267,-97.74
72cbdf01-2658-41f1-ae4f-f7ad3b8ca843,3b27c097-a1a0-4208-a2c3-772ea418dec9,scooter,811,1561,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,1,9,015182,015022,2019,30.275,-97.737,30.269,-97.74
15a7bf8e-ab36-4ecf-933a-a3b8b7260ee4,39b2c95c-b897-4fe3-8151-13f047019f7e,scooter,185,337,02/23/2019 10:15:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015022,014865,2019,30.267,-97.74,30.269,-97.742
c41e4eb9-1e4d-4ab1-a7de-2d563d1f6af1,3201dbeb-a72b-43b9-b24c-9c6759673f72,scooter,1122,1271,02/23/2019 10:00:00 PM,02/23/2019 10:30:00 PM,02/24/2019 05:56:16 AM,2,22,6,5,9,013599,013596,2019,30.255,-97.762,30.248,-97.762
3e2c6ff4-a4a5-4938-b313-6b9376523c39,51ae060c-7dc8-4bb9-8bff-4ca6289905cb,scooter,265,643,02/23/2019 10:15:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,22,6,3,3,015807,015806,2019,30.261,-97.727,30.259,-97.728
dea55cd8-625f-432d-8524-ea10b16cf043,18393109-e831-4936-9281-19eb9628e666,scooter,2392,3910,02/23/2019 09:45:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,21,6,9,9,015022,014384,2019,30.267,-97.74,30.249,-97.75
b8faa6cd-e3bb-4391-a4a2-ffbdc09404e4,7ac3f976-d80b-494a-ab3e-d7b5afde110c,scooter,424,514,02/23/2019 10:15:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014227,014385,2019,30.25,-97.75,30.252,-97.749
edea3c6b-3ee6-4930-b335-b17806b248c8,57fcdd76-cc3c-41cd-92da-8e72ea72e7b1,scooter,476,418,02/23/2019 10:15:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014865,014707,2019,30.269,-97.742,30.269,-97.743
74f5d237-a6d8-41b7-b854-a4c71fdb54f0,bb117ac6-9165-4b44-95b4-9be9b0084291,scooter,413,1013,02/23/2019 10:15:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015019,014864,2019,30.261,-97.739,30.267,-97.742
31b3fb7a-edaf-4136-acd5-4e288bce68b9,fdf7593e-6e65-42d0-aa33-b508cf142646,scooter,1034,1641,02/23/2019 10:00:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015018,014389,2019,30.258,-97.739,30.262,-97.748
6ac5397b-badb-4db2-8e30-98780440142a,705dfa37-4473-4f34-aa2f-7dc00bc7dcf0,scooter,447,1126,02/23/2019 10:15:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015019,014864,2019,30.26,-97.739,30.266,-97.742
2b2a0e6c-df23-4ef9-a5c7-6b19d9f64382,36b8df7c-8350-4ed4-9b35-d28de5c8ad71,scooter,384,756,02/23/2019 10:30:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,014393,014549,2019,30.27,-97.748,30.267,-97.746
de0a1fdc-598a-437f-a84e-322691f6f346,952783ba-cda7-4385-971c-dea491acccab,scooter,153,177,02/23/2019 10:15:00 PM,02/23/2019 10:15:00 PM,02/24/2019 05:56:16 AM,2,22,6,9,9,015179,015022,2019,30.266,-97.737,30.267,-97.739
3f7bfa7f-4ec2-414d-b101-942d200c61f3,7063e4cc-c739-419a-a369-797606301091,scooter,641,2027,02/23/2019 10:45:00 PM,02/23/2019 10:45:00 PM,02/24/2019 05:56:16 AM,2,22,6,1,1,016287,016601,2019,30.28,-97.719,30.278,-97.716
d9300609-2718-47dc-b67c-ebee1196251a,3e72753f-6adf-4e30-a26a-5bd2e94edd05,scooter,107,276,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,015018,015019,2019,30.258,-97.738,30.261,-97.739
439d923c-9289-42c9-ab30-980c1edad8bf,4d2168a9-fa92-4bb1-9392-3b28ed0c802f,scooter,502,303,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014078,014236,2019,30.271,-97.753,30.27,-97.751
d824d9ce-4704-44d5-9dea-d875f774398f,f009f56a-337e-4b28-a2ed-32e2ef427941,scooter,162,531,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,015021,014705,2019,30.265,-97.739,30.264,-97.744
77b36e07-0b93-49db-9839-d281fb423261,a5a6cdb5-e461-43c6-8897-a8e67fa52d0c,scooter,383,1463,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014862,015329,2019,30.261,-97.741,30.247,-97.734
18b4ad31-6e05-4b18-bc12-cc383db14d5a,18a029f9-313f-40d2-ba56-75213bc49b93,scooter,225,0,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,3,3,015807,015650,2019,30.262,-97.726,30.263,-97.728
