Batch,Secondary,Primary
5,1972127.503,2795020.404
5,2370763.174,3526752.814
5,2517021.503,3753589.788
5,1890530.573,2758094.965
5,1117305.576,1855536.157
5,1900695.968,3159072.121
5,1744431.182,2745838.313
5,1727104.059,2541030.804
5,687218.1806,724679.5134
5,1738994.769,2274114.631
5,1380856.519,2326148.088
5,1645434.31,2298651.368
5,1602542.11,2136812.658
5,1550016.618,2347553.912
5,1340167.312,1838613.43
5,858533.7714,1347514.245
5,1085712.515,1058341.19
5,1268926.785,1686053.06
5,1386218.413,1920389.138
5,1375356.887,1809077.123
5,1272506.517,1890485.408
5,1397980.753,2052612.63
5,1024554.044,1520788.185
5,1415924.72,2175056.844
5,1208356.488,1713120.756
5,1322746.866,2115206.858
5,1293570.953,1776950.837
5,1439684.34,1755300.733
5,1505213.375,2111621.99
5,1617320.01,2318012.332
5,1712315.613,2382273.64
5,1281514.996,1853526.168
5,869334.192,1309408.553
5,1137455.484,1605323.22
5,1467783.547,1973711.359
6,1481262.111,2148108.766
6,1261817.448,1971170.134
6,1371339.272,2207751.554
6,1480453.188,2384458.861
6,1155797.393,1340348.122
6,1279421.676,2027354.479
6,1423003.649,2268915.133
6,1298389.082,2133111.259
6,1197154.139,1966938.894
6,1246791.669,1971072.707
6,1210111.272,1937689.749
6,1102751.509,1742873.387
6,1253287.001,1817730.453
6,1497724.935,2108147.786
6,1408908.85,2407315.314
6,1730582.96,2541323.625
6,1517077.971,2135387.076
6,1629041.023,2105127.227
6,1241955.394,2083735.308
6,1149022.226,1737999.349
6,1611030.991,2076648.845
7,1470125.809,1557244.551
7,872627.9969,1118122.89
7,1456288.872,1838641.018
7,1163080.817,1284613.005
7,1070299.514,1044849.695
7,950875.2634,1160740.224
7,1215421.918,1787133.976
7,1041241.756,1061663.243
7,1009067.138,1133384.073
7,1661230.723,2144655.207
7,1394510.558,1667167.32
7,1550552.548,2160530.119
7,1367539.455,1797693.106
7,1429095.743,1773069.006
7,1821963.527,1912995.431
7,1506916.64,2007810.859
7,1500556.714,1658568.892
7,1063467.562,1550795.143
7,1122021.558,1650948.477
7,797597.9049,1131612.524
7,1308268.499,1394571.5
7,1086408.956,1439411.219
7,873294.3647,1389996.572
7,1130759.894,1546689.263
7,1240275.344,1667702.744
7,1172128.366,1620259.933
7,1267777.185,1847401.962
7,1473077.476,1839356.535
7,1087969.143,1760700.819
7,1490082.293,1344376.544
7,1171442.959,1525761.235
7,1106832.428,1461959.566
7,1415446.239,1588952.807
7,1690776.585,1831345.315
7,1482820.603,1737664.124
7,1399530.615,1709389.265
7,1632800.198,1882561.451
7,1540865.878,1496330.602
7,1190899.861,1619264.614
7,1316798.343,1496460.857
7,1295772.516,1719190.831
7,1381358.441,1654559.488
7,922401.2907,1297444.656
7,1348896.783,1473481.86
7,1341445.987,1814137.726
7,1454959.799,2094852.047
8,914029.287,979677.341
8,940591.6138,861607.9523
8,1107299.836,1119212.262
8,983246.455,1319871.137
8,1249593.974,1243299.938
8,1438145.412,1137500.756
8,935491.1023,1145340.228
8,1043704.807,1104749.549
8,973892.8743,1244061.061
8,1053651.152,986698.9955
8,974885.6307,1123831.52
8,1358291.711,1184370.23
8,1145794.432,1229524.657
8,813675.7554,1012811.523
8,1097129.485,1085655.969
8,1060621.375,1363803.637
8,1004122.246,940774.054
8,695278.9872,864351.096
8,758925.743,845941.6806
8,854361.1404,1006775.831
8,1182347.157,1030505.631
8,1059987.853,1197403.766
8,1062422.253,1152496.615
8,1055794.679,1061005.643
8,995332.4322,1214120.275
8,949000.1041,1285537.018
8,1192356.733,1065036.886
8,718747.495,497537.5323
8,1336050.648,1551760.53
8,1080220.303,1119652.166
8,1268708.591,1349491.877
9,1190446.216,1301954.405
9,1282738.264,1383878.638
9,605920.7732,448012.6488
9,1146078.752,1099326.51
9,1052643.779,1021708.762
9,1068006.548,1221956.319
9,1106607.456,1096612.869
9,1047014.148,100689.8255
9,1380921.927,1225912.991
9,1017525.286,1043049.077
9,853875.3033,922580.8311
9,638016.1449,493171.467
9,899456.5666,761156.923
9,906920.7913,683726.5124
9,1020248.684,767911.7352
9,871920.6955,774299.4247
9,752656.4928,869933.3957
10,993760.9983,254374.8805
10,341909.2244,687776.5709
10,618930.3819,570872.4734
10,70324.68094,553242.3868
10,874539.0727,695066.2235
10,678710.5589,546142.2745
10,659163.3779,711604.7759
10,777736.2388,200456.6193
10,681730.9756,770326.8412
10,939285.8392,805224.989
10,693268.2224,685367.6604
10,363434.0486,616980.2748
10,745315.611,857128.8081
10,713949.3846,531988.1446
10,776254.3332,533668.4275
10,627892.2569,682312.4398
10,875655.7852,645317.7202
10,1060976.704,849086.6132
10,1040269.009,744746.7703
10,804442.0637,648600.0765
10,732076.6346,637640.4616
10,834701.6041,623154.6583
10,520619.0127,16392.46519
10,2262577.881,2183294.827
10,617386.3283,739656.3132
10,808130.4991,786700.0828
10,854702.1468,647059.8158
10,829304.9347,691585.8773
10,548568.5519,464033.5768
10,871573.556,744218.8348
10,882091.7835,
10,853119.0932,887306.3625
10,803978.1897,880701.0531
10,737491.7743,724955.1057
10,811925.8072,757269.5558
10,610164.5853,505362.2846
10,174183042.2,112978559.7
